Option, BS Analytical, S-K, BS Nonlinear, Beta, Volatility, r, T
[OW20A211150, 473.644, 847.910, 847.588, -0.00000284, 0.065, 0.010, 43]
[OW20A211200, 456.909, 823.830, 823.076, -0.00000181, 0.045, 0.010, 70]
[OW20A211250, 554.243, 735.510, 735.462, -0.00000691, 0.230, 0.010, 22]
[OW20A211350, 293.599, 178.780, 178.335, 0.00035156, 0.035, 0.010, 7]
[OW20A211450, 214.107, 155.430, 155.697, 0.00028125, 0.002, 0.010, 9]
[OW20A211600, 7.921, 65.720, 65.575, -0.00012729, 0.364, 0.010, 7]
[OW20A211650, 69.879, 430.500, 430.803, -0.00000833, 0.195, 0.010, 81]
[OW20A211700, 4.295, 350.240, 350.479, -0.00000539, 0.047, 0.010, 86]
[OW20A211750, 0.338, 273.830, 273.064, -0.00000650, 0.049, 0.010, 87]
[OW20A211800, 0.000, 226.350, 226.619, -0.00000709, 0.031, 0.010, 88]
[OW20A211850, 0.000, 176.350, 176.509, -0.00000825, 0.020, 0.010, 88]
[OW20A211900, 0.000, 167.330, 167.580, -0.00001413, 0.028, 0.010, 69]
[OW20A211925, 9.336, 90.020, 90.299, -0.00018302, 0.060, 0.010, 8]
[OW20A211950, 0.000, 76.350, 76.731, -0.00001735, 0.021, 0.010, 71]
[OW20A211975, 0.002, 51.350, 51.638, -0.00005695, 0.026, 0.010, 25]
[OW20A212000, 0.000, 26.350, 26.312, -0.00002500, 0.022, 0.010, 67]
[OW20A212025, 0.000, 1.350, 1.325, -0.00007828, 0.023, 0.010, 25]
[OW20A212050, 0.000, 0.000, 0.000, 0.00000000, 0.020, 0.010, 67]
[OW20A212075, 0.000, 0.000, 0.000, 0.00000000, 0.024, 0.010, 25]
